Run,Trial,enter room,exit room,next room,triage,Mean
41,Trial-180,0.533333333,1,0.769230769,0.463414634,0.691494684
41,Trial-75,0.692307692,0.958333333,0.933333333,0.764705882,0.83717006
41,Trial-237,0.483870968,1,1,0.565217391,0.76227209
41,Trial-57,0.470588235,0.998986829,0.866666667,0.6,0.734060433
41,Trial-273,0.565217391,1,1,0.733333333,0.824637681
41,Trial-233,0.578947368,1,0.846153846,0.75,0.793775304
41,Trial-171,,,1,,1
41,Trial-183,0.458333333,1,1,0.347826087,0.701539855
41,Trial-114,0.529411765,1,0.785714286,0.605263158,0.730097302
41,Trial-132,0.552631579,1,0.857142857,0.615384615,0.756289763
41,Trial-70,0.5,1,1,0.689655172,0.797413793
41,Trial-159,0.523809524,0.962962963,1,0.6875,0.793568122
41,Trial-208,,,1,,1
41,Trial-150,0.558823529,1,0.846153846,0.357142857,0.690530058
41,Trial-141,,,1,,1
41,Trial-116,0.6,1,0.941176471,0.487179487,0.757088989
41,Trial-240,0.696969697,0.928571429,0.8,0.714285714,0.78495671
41,Trial-93,0.512195122,1,0.941176471,0.651162791,0.776133596
41,Trial-146,0.525,1,0.923076923,0.827586207,0.818915782
41,Trial-117,0.527777778,1,0.928571429,0.692307692,0.787164225
41,Trial-111,0.655172414,0.95,0.625,0.419354839,0.662381813
41,Trial-112,0.545454545,1,0.9375,0.625,0.776988636
41,Trial-135,0.621621622,1,0.916666667,0.590909091,0.782299345
42,Trial-134,0.578947368,1,0.909090909,0.5,0.747009569
42,Trial-67,0.75,0.966666667,0.857142857,0.7,0.818452381
42,Trial-231,0.56097561,1,1,0.773584906,0.833640129
42,Trial-149,0.526315789,1,0.785714286,0.608695652,0.730181432
42,Trial-188,0.714285714,1,0.9375,0.642857143,0.823660714
42,Trial-190,0.5,1,0.933333333,0.64516129,0.769623656
42,Trial-251,0.461538462,0.956521739,0.941176471,0.513513514,0.718187546
42,Trial-69,0.55,1,0.941176471,0.617021277,0.777049437
42,Trial-66,0.607142857,1,0.875,0.675675676,0.789454633
42,Trial-108,0.5,1,1,0.666666667,0.791666667
42,Trial-248,0.471698113,1,1,0.777777778,0.812368973
42,Trial-257,0.578947368,1,0.888888889,0.868852459,0.834172179
42,Trial-204,0.580645161,1,1,0.333333333,0.728494624
42,Trial-165,0.611111111,1,0.941176471,0.702702703,0.813747571
42,Trial-109,0.565217391,1,0.941176471,0.35,0.714098465
42,Trial-182,0.657894737,1,0.941176471,0.181818182,0.695222347
42,Trial-266,0.6,1,1,0.730769231,0.832692308
42,Trial-255,0.482758621,1,1,0.7,0.795689655
42,Trial-63,0.657142857,1,0.928571429,0.707317073,0.82325784
42,Trial-156,0.666666667,1,0.866666667,0.407407407,0.735185185
42,Trial-259,0.722222222,1,0.8,0.888888889,0.852777778
42,Trial-161,0.636363636,1,1,0.705882353,0.835561497
42,Trial-145,0.611111111,1,0.9375,0.7,0.812152778
42,Trial-219,0.75,1,0.866666667,0.379310345,0.748994253
42,Trial-242,0.459459459,1,0.95,0.473684211,0.720785917
42,Trial-199,0.644444444,1,0.875,0.614035088,0.783369883
42,Trial-184,0.525,1,0.857142857,0.538461538,0.730151099
42,Trial-230,0.653846154,1,0.9375,0.771428571,0.840693681
42,Trial-172,0.333333333,1,0.933333333,0.677419355,0.736021505
42,Trial-176,0.571428571,1,0.833333333,0.743589744,0.787087912
42,Trial-272,0.588235294,0.928571429,1,0.6875,0.801076681
42,Trial-175,0.869565217,0.92,0.7,0.615384615,0.776237458
42,Trial-153,0.583333333,1,1,0.714285714,0.824404762
42,Trial-154,0.545454545,1,0.866666667,0.531914894,0.736009026
42,Trial-75,0.697674419,0.958333333,0.944444444,0.764705882,0.84128952
42,Trial-57,0.411764706,0.998985801,0.9375,0.6,0.737062627
42,Trial-91,0.414634146,0.992857143,0.8,0.657142857,0.716158537
42,Trial-71,0.666666667,1,0.888888889,0.681818182,0.809343434
42,Trial-194,0.575,1,0.818181818,0.625,0.754545455
42,Trial-181,0.586206897,1,0.8,0.8,0.796551724
42,Trial-261,0.6,0.944444444,1,0.830508475,0.84373823
42,Trial-183,0.5,1,1,0.347826087,0.711956522
42,Trial-132,0.527777778,1,0.846153846,0.615384615,0.74732906
42,Trial-123,0.658536585,1,0.888888889,0.65625,0.800918869
42,Trial-150,0.540540541,1,0.857142857,0.357142857,0.688706564
42,Trial-68,0.545454545,1,0.923076923,0.743589744,0.803030303
42,Trial-59,0.366666667,0.995633188,0.8,0.666666667,0.70724163
42,Trial-240,0.676470588,0.928571429,0.875,0.714285714,0.798581933
42,Trial-250,0.620689655,1,0.9375,0.510204082,0.767098434
42,Trial-146,0.5,1,0.928571429,0.827586207,0.814039409
42,Trial-215,0.564102564,1,0.944444444,0.587301587,0.773962149
42,Trial-136,0.625,1,0.888888889,0.6875,0.800347222
42,Trial-127,0.625,1,0.714285714,0.714285714,0.763392857
42,Trial-111,0.714285714,0.95,0.625,0.419354839,0.677160138
42,Trial-244,0.769230769,1,0.7,0.76744186,0.809168157
42,Trial-203,0.695652174,0.882352941,0.875,0.428571429,0.720394136
43,Trial-134,0.526315789,1,0.916666667,0.5,0.735745614
43,Trial-67,0.76,0.966666667,0.857142857,0.7,0.820952381
43,Trial-256,0.590909091,1,0.785714286,0.814814815,0.797859548
43,Trial-252,0.536585366,1,0.866666667,0.533333333,0.734146341
43,Trial-206,0.487179487,1,0.846153846,0.675675676,0.752252252
43,Trial-126,0.578947368,1,0.9375,0.846153846,0.840650304
43,Trial-162,0.647058824,1,0.888888889,0.541666667,0.769403595
43,Trial-201,0.621621622,1,0.8,0.866666667,0.822072072
43,Trial-115,0.613636364,1,1,0.625,0.809659091
43,Trial-124,0.703703704,1,0.7,0.777777778,0.79537037
43,Trial-46,0.466666667,1,0.875,0.642384106,0.746012693
43,Trial-164,0.666666667,1,0.857142857,0.833333333,0.839285714
43,Trial-177,0.64,1,0.666666667,0.741935484,0.762150538
43,Trial-163,0.564102564,1,1,0.764705882,0.832202112
43,Trial-248,0.481481481,1,1,0.777777778,0.814814815
43,Trial-227,0.608695652,0.928571429,0.857142857,0.639344262,0.75843855
43,Trial-144,0.44,1,0.846153846,0.906976744,0.798282648
43,Trial-165,0.647058824,1,0.9375,0.702702703,0.821815382
43,Trial-212,0.666666667,0.956521739,1,0.441860465,0.766262218
43,Trial-266,0.538461538,1,1,0.730769231,0.817307692
43,Trial-60,0.475,1,0.8,0.648648649,0.730912162
43,Trial-156,0.692307692,1,0.866666667,0.407407407,0.741595442
43,Trial-119,0.575757576,1,0.928571429,0.833333333,0.834415584
43,Trial-259,0.72972973,1,0.833333333,0.888888889,0.862987988
43,Trial-83,0.421052632,0.996742671,0.894736842,0.6,0.728133036
43,Trial-211,0.636363636,1,0.923076923,0.714285714,0.818431568
43,Trial-219,0.828571429,1,0.933333333,0.379310345,0.785303777
43,Trial-47,0.5,1,0.9375,0.689655172,0.781788793
43,Trial-236,0.628571429,1,1,0.5625,0.797767857
43,Trial-104,0.652173913,1,0.909090909,0.647058824,0.802080911
43,Trial-56,0.481481481,1,0.818181818,0.657534247,0.739299387
43,Trial-97,0.583333333,1,0.6875,0.555555556,0.706597222
43,Trial-72,0.590909091,1,0.818181818,0.538461538,0.736888112
43,Trial-89,0.4,1,0.916666667,0.644444444,0.740277778
43,Trial-225,0.666666667,1,0.928571429,0.666666667,0.81547619
43,Trial-43,0.594594595,1,0.944444444,0.791666667,0.832676426
43,Trial-170,0.477272727,1,1,0.891891892,0.842291155
43,Trial-152,0.452380952,0.952380952,0.923076923,0.772727273,0.775141525
43,Trial-107,0.421052632,1,0.923076923,0.612903226,0.739258195
43,Trial-218,0.55,1,1,0.666666667,0.804166667
43,Trial-74,0.578947368,1,0.928571429,0.882352941,0.847467935
43,Trial-181,0.566666667,1,0.8,0.8,0.791666667
43,Trial-171,0.558139535,0.928571429,0.875,0.694915254,0.764156554
43,Trial-103,0.743589744,1,0.875,0.769230769,0.846955128
43,Trial-260,0.464285714,1,0.9375,0.830508475,0.808073547
43,Trial-123,0.627906977,1,0.888888889,0.65625,0.793261466
43,Trial-150,0.555555556,1,0.923076923,0.357142857,0.708943834
43,Trial-68,0.545454545,1,0.857142857,0.743589744,0.786546787
43,Trial-240,0.666666667,0.928571429,0.882352941,0.714285714,0.797969188
43,Trial-93,0.533333333,1,0.944444444,0.651162791,0.782235142
43,Trial-187,0.571428571,1,1,0.804878049,0.844076655
43,Trial-88,0.485714286,1,0.916666667,0.636363636,0.759686147
43,Trial-127,0.526315789,1,0.666666667,0.714285714,0.726817043
43,Trial-228,0.594594595,1,0.785714286,0.8,0.79507722
43,Trial-111,0.642857143,0.95,0.571428571,0.419354839,0.645910138
43,Trial-191,0.526315789,0.944444444,0.941176471,0.64516129,0.764274499
44,Trial-51,0.632653061,0.928571429,0.944444444,0.627906977,0.783393978
44,Trial-134,0.523809524,1,0.928571429,0.5,0.738095238
44,Trial-231,0.56097561,1,1,0.773584906,0.833640129
44,Trial-100,0.43902439,1,0.866666667,0.633333333,0.734756098
44,Trial-198,0.771428571,1,0.941176471,0.870967742,0.895893196
44,Trial-241,0.4375,1,0.916666667,0.571428571,0.73139881
44,Trial-94,0.578947368,1,0.941176471,0.590909091,0.777758232
44,Trial-122,0.6,0.9375,1,0.787878788,0.831344697
44,Trial-190,0.416666667,1,0.875,0.64516129,0.734206989
44,Trial-96,0.387096774,1,1,0.647058824,0.758538899
44,Trial-108,0.5,1,1,0.666666667,0.791666667
44,Trial-177,0.625,1,0.6,0.741935484,0.741733871
44,Trial-90,0.468085106,1,0.888888889,0.692307692,0.762320422
44,Trial-248,0.48,1,1,0.777777778,0.814444444
44,Trial-257,0.666666667,1,0.941176471,0.868852459,0.869173899
44,Trial-263,0.5,1,1,0.703703704,0.800925926
44,Trial-245,0.583333333,1,0.909090909,0.714285714,0.801677489
44,Trial-139,0.512820513,1,0.933333333,0.84,0.821538462
44,Trial-232,0.653846154,1,0.941176471,0.444444444,0.759866767
44,Trial-266,0.555555556,1,1,0.730769231,0.821581197
44,Trial-255,0.458333333,1,1,0.7,0.789583333
44,Trial-156,0.648648649,1,0.923076923,0.407407407,0.744783245
44,Trial-99,0.46875,1,0.785714286,0.307692308,0.640539148
44,Trial-186,0.666666667,1,0.866666667,0.619047619,0.788095238
44,Trial-140,0.55,0.95,0.916666667,0.666666667,0.770833333
44,Trial-161,0.612903226,1,1,0.705882353,0.829696395
44,Trial-160,0.666666667,1,0.933333333,0.483870968,0.770967742
