Run,Trial,enter room,exit room,next room,triage,Mean,,Overall Mean,,Standard Deviation,,Variance
exp-0031,Trial-245,0.583333333,1,0.916666667,0.714285714,0.803571429,,,,,,
exp-0031,Trial-267,0.111111111,1,0.571428571,0.857142857,0.634920635,,,,,,
exp-0031,Trial-62,0.606060606,1,0.9,0.6,0.776515152,,,,,,
exp-0031,Trial-209,0.53125,1,0.866666667,0.722222222,0.780034722,,,,,,
exp-0031,Trial-107,0.421052632,1,0.923076923,0.612903226,0.739258195,,,,,,
exp-0031,Trial-218,0.571428571,1,1,0.666666667,0.80952381,,,,,,
exp-0031,Trial-169,0.657142857,1,0.818181818,0.8,0.818831169,,,,,,
exp-0031,Trial-200,0.71875,1,0.909090909,0.655737705,0.820894654,,,,,,
exp-0031,Trial-141,0.7,1,0.947368421,0.727272727,0.843660287,,,,,,
exp-0031,Trial-59,0.40625,0.995633188,0.818181818,0.666666667,0.721682918,,,,,,
exp-0031,Trial-250,0.642857143,1,0.9375,0.510204082,0.772640306,,,,,,
exp-0031,Trial-203,0.714285714,0.882352941,0.857142857,0.428571429,0.720588235,,,,,,
exp-0032,Trial-106,0.390243902,1,0.916666667,0.6,0.726727642,,,,,,
exp-0032,Trial-112,0.557377049,1,0.947368421,0.625,0.782436368,,,,,,
exp-0032,Trial-178,0.511111111,1,0.846153846,0.307692308,0.666239316,,,,,,
exp-0032,Trial-195,0.414634146,1,0.764705882,0.56097561,0.68507891,,,,,,
exp-0032,Trial-231,0.56097561,1,1,0.773584906,0.833640129,,,,,,
exp-0032,Trial-50,0.675675676,1,0.928571429,0.541666667,0.786478443,,,,,,
exp-0032,Trial-67,0.730769231,0.966666667,0.875,0.7,0.818108974,,,,,,
exp-0033,Trial-162,0.666666667,1,0.8,0.541666667,0.752083333,,,,,,
exp-0033,Trial-82,0.461538462,0.995951417,0.875,0.607142857,0.734908184,,,,,,
exp-0033,Trial-165,0.636363636,1,0.933333333,0.702702703,0.818099918,,,,,,
exp-0033,Trial-109,,,1,,1,,,,,,
exp-0033,Trial-62,0.4,1,0.857142857,0.5,0.689285714,,,,,,
exp-0033,Trial-217,0.470588235,0.96,0.818181818,0.652173913,0.725235992,,,,,,
exp-0033,Trial-243,0.538461538,1,1,0.44,0.744615385,,,,,,
exp-0033,Trial-50,0.675675676,1,0.928571429,0.541666667,0.786478443,,,,,,
exp-0033,Trial-152,0.425,0.952380952,0.909090909,0.772727273,0.764799784,,,,,,
exp-0033,Trial-247,0.490196078,1,1,0.7,0.79754902,,,,,,
exp-0033,Trial-138,0.694444444,1,0.928571429,0.583333333,0.801587302,,,,,,
exp-0033,Trial-240,0.666666667,0.928571429,0.875,0.714285714,0.796130952,,,,,,
exp-0033,Trial-146,0.525,1,0.928571429,0.827586207,0.820289409,,,,,,
exp-0033,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582,,,,,,
exp-0033,Trial-253,0.52,1,1,0.633333333,0.788333333,,,,,,
exp-0033,Trial-81,0.53125,1,0.818181818,0.586206897,0.733909679,,,,,,
exp-0034,Trial-45,,,,,,,,,,,
exp-0034,Trial-82,0.461538462,0.995951417,0.875,0.607142857,0.734908184,,,,,,
exp-0034,Trial-102,0.404255319,1,1,0.663366337,0.766905414,,,,,,
exp-0034,Trial-222,0.5,1,0.923076923,0.608695652,0.757943144,,,,,,
exp-0034,Trial-97,0.617647059,1,0.666666667,0.555555556,0.70996732,,,,,,
exp-0034,Trial-158,,,0.666666667,,0.666666667,,,,,,
exp-0034,Trial-48,0.65625,1,1,0.725490196,0.845435049,,,,,,
exp-0034,Trial-133,0.743589744,1,0.7,0.294117647,0.684426848,,,,,,
exp-0034,Trial-138,0.694444444,1,0.928571429,0.583333333,0.801587302,,,,,,
exp-0034,Trial-250,0.655172414,1,0.9375,0.510204082,0.775719124,,,,,,
exp-0035,Trial-58,0.318181818,1,0.625,0.673469388,0.654162801,,,,,,
