states,observations
"(40, 90)","[39, 36, 38, 40, 41]"
"(40, 180)","[39, 38, 40]"
"(40, 270)","[49, 38, 39, 40, 41]"
"(41, 0)","[59, 27, 49, 36, 41]"
"(41, 90)","[39, 27, 36, 40, 41]"
"(41, 180)","[59, 39, 27, 49, 38, 41, 36, 40]"
"(41, 270)","[59, 63, 49, 39, 40, 41]"
"(42, 0)","[46, 54, 51, 43, 45, 52, 42, 55, 48, 56, 50, 47, 53, 44]"
"(42, 90)","[42, 43, 44]"
"(42, 180)","[42, 50]"
"(42, 270)","[54, 51, 43, 52, 42, 55, 56, 50, 53, 44]"
"(43, 0)","[46, 54, 51, 43, 45, 52, 55, 37, 48, 56, 47, 53, 44]"
"(43, 90)","[42, 43, 44, 45]"
"(43, 180)","[42, 51, 43, 50]"
"(43, 270)","[54, 51, 43, 45, 52, 42, 55, 56, 50, 53, 44]"
"(44, 0)","[46, 54, 45, 52, 55, 37, 48, 56, 47, 53, 44]"
"(44, 90)","[46, 42, 43, 44, 45]"
"(44, 180)","[52, 42, 51, 43, 44, 50]"
"(44, 270)","[46, 54, 51, 43, 45, 52, 42, 55, 56, 50, 53, 44]"
"(45, 0)","[46, 54, 45, 55, 37, 48, 56, 47, 53]"
"(45, 90)","[37, 46, 47, 43, 44, 45]"
"(45, 180)","[52, 42, 43, 51, 44, 53, 50, 45]"
"(45, 270)","[46, 54, 51, 43, 45, 52, 55, 56, 50, 47, 53, 44]"
"(46, 0)","[46, 54, 55, 37, 48, 56, 47]"
"(46, 90)","[37, 46, 47, 48, 45, 44]"
"(46, 180)","[46, 54, 43, 51, 45, 42, 52, 50, 53, 44]"
"(46, 270)","[46, 54, 51, 45, 52, 55, 48, 56, 50, 47, 53, 44]"
"(47, 0)","[55, 37, 48, 56, 47]"
"(47, 90)","[46, 45, 37, 48, 47]"
"(47, 180)","[46, 54, 43, 51, 45, 42, 52, 55, 37, 50, 47, 53, 44]"
"(47, 270)","[46, 54, 51, 45, 52, 55, 48, 56, 50, 47, 53]"
"(48, 0)","[48, 56]"
"(48, 90)","[46, 37, 48, 47]"
"(48, 180)","[46, 54, 43, 51, 45, 42, 52, 55, 37, 48, 56, 50, 47, 53, 44]"
"(48, 270)","[46, 54, 51, 52, 55, 48, 56, 50, 47, 53]"
"(49, 0)","[59, 63, 49, 36, 41]"
"(49, 90)","[27, 49, 36, 40, 41]"
"(49, 180)","[59, 63, 49, 36, 40, 41]"
"(49, 270)","[59, 63, 49]"
"(50, 0)","[46, 54, 51, 43, 45, 52, 42, 55, 37, 48, 56, 60, 50, 47, 53, 44]"
"(50, 90)","[46, 51, 43, 45, 52, 42, 37, 48, 50, 47, 44]"
"(50, 180)","[42, 60, 50]"
"(50, 270)","[52, 51, 60, 50]"
"(51, 0)","[46, 54, 51, 43, 45, 52, 55, 37, 48, 56, 47, 53, 44]"
"(51, 90)","[46, 51, 43, 45, 52, 42, 37, 48, 50, 47, 53, 44]"
"(51, 180)","[42, 51, 43, 50]"
"(51, 270)","[52, 53, 51, 50]"
"(52, 0)","[46, 54, 45, 52, 55, 37, 48, 56, 47, 53, 44]"
"(52, 90)","[46, 54, 43, 51, 45, 52, 42, 37, 48, 50, 47, 53, 44]"
"(52, 180)","[52, 42, 51, 43, 44, 50]"
"(52, 270)","[54, 52, 53, 51, 50]"
"(53, 0)","[46, 54, 45, 55, 37, 48, 56, 47, 53]"
"(53, 90)","[46, 54, 43, 51, 45, 52, 42, 55, 37, 48, 47, 53, 44]"
"(53, 180)","[52, 53, 43, 42, 44, 51, 50, 45]"
"(53, 270)","[54, 52, 53, 51, 55]"
"(54, 0)","[54, 46, 55, 37, 48, 56, 47]"
"(54, 90)","[54, 46, 43, 45, 42, 52, 55, 37, 48, 56, 47, 53, 44]"
"(54, 180)","[46, 54, 43, 51, 45, 42, 52, 50, 53, 44]"
"(54, 270)","[54, 52, 53, 56, 55]"
"(55, 0)","[55, 37, 48, 56, 47]"
"(55, 90)","[46, 54, 43, 45, 42, 55, 37, 48, 56, 47, 53, 44]"
"(55, 180)","[46, 54, 43, 51, 45, 42, 52, 55, 37, 50, 47, 53, 44]"
"(55, 270)","[54, 55, 56, 53]"
"(56, 0)","[48, 56]"
"(56, 90)","[46, 54, 43, 45, 55, 42, 37, 48, 56, 47, 44]"
"(56, 180)","[46, 54, 43, 51, 45, 42, 52, 55, 37, 48, 56, 50, 47, 53, 44]"
"(56, 270)","[54, 55, 56]"
"(57, 0)","[73, 61, 72, 62, 88, 58, 78, 57, 74]"
"(57, 90)","[58, 57]"
"(57, 180)","[72, 61, 57]"
"(57, 270)","[72, 87, 58, 74, 61, 77, 57, 73, 62, 88, 78]"
"(58, 0)","[73, 58, 62, 74]"
"(58, 90)","[58, 57]"
"(58, 180)","[72, 87, 58, 61, 77, 57, 73, 62]"
"(58, 270)","[72, 87, 58, 74, 61, 77, 57, 73, 62, 88, 78]"
"(59, 0)","[59, 63, 49, 41]"
"(59, 90)","[59, 27, 49, 36, 40, 41]"
"(59, 180)","[59, 63, 49, 40, 41]"
"(59, 270)","[59, 63]"
"(60, 0)","[66, 60, 76, 65, 50]"
"(60, 90)","[60, 50]"
"(60, 180)","[60, 76, 65, 50, 64]"
"(60, 270)","[66, 60, 76, 65, 64]"
"(61, 0)","[73, 61, 72, 62, 88, 77, 58, 78, 57, 74]"
"(61, 90)","[61, 62, 58, 57]"
"(61, 180)","[72, 61, 77, 57]"
"(61, 270)","[72, 87, 74, 61, 77, 73, 62, 88, 78]"
"(62, 0)","[73, 58, 62, 74, 78]"
"(62, 90)","[61, 62, 58, 57]"
"(62, 180)","[72, 87, 58, 61, 77, 57, 73, 62, 78]"
"(62, 270)","[72, 87, 74, 61, 77, 73, 62, 88, 78]"
"(63, 0)","[59, 63, 75, 49, 79, 64]"
"(63, 90)","[59, 63, 27, 49, 41, 36, 40, 64]"
"(63, 180)","[59, 63, 74, 75, 49, 79]"
"(63, 270)","[64, 79, 75, 63, 74, 89]"
