states,observations
"(50, 90)","[50, 38, 45, 46, 47, 50]"
"(50, 180)","[50, 50]"
"(50, 270)","[59, 50, 83, 78, 58, 69, 68, 67, 77, 50]"
"(51, 0)","[52, 61, 49, 51, 51]"
"(51, 90)","[51, 48, 51]"
"(51, 180)","[51, 51]"
"(51, 270)","[69, 96, 84, 61, 71, 79, 97, 51, 70, 80, 85, 60, 51]"
"(52, 0)","[52, 52]"
"(52, 90)","[52, 49, 52]"
"(52, 180)","[48, 52, 51, 60, 52]"
"(52, 270)","[69, 96, 52, 84, 61, 71, 79, 95, 97, 70, 80, 85, 60, 52]"
"(53, 0)","[53, 64, 54, 63, 74, 55, 53]"
"(53, 90)","[53, 53]"
"(53, 180)","[53, 53]"
"(53, 270)","[72, 62, 53, 73, 81, 63, 74, 53]"
"(54, 0)","[64, 54, 55, 54]"
"(54, 90)","[54, 54]"
"(54, 180)","[62, 53, 54, 54]"
"(54, 270)","[72, 64, 54, 74, 62, 73, 63, 81, 54]"
"(55, 0)","[55, 55]"
"(55, 90)","[55, 55]"
"(55, 180)","[72, 62, 53, 55, 63, 54, 55]"
"(55, 270)","[72, 73, 64, 63, 74, 81, 55, 55]"
"(56, 0)","[56, 57, 66, 56]"
"(56, 90)","[56, 56]"
"(56, 180)","[56, 56]"
"(56, 270)","[82, 56, 75, 76, 66, 65, 56]"
"(57, 0)","[57, 57]"
"(57, 90)","[57, 57]"
"(57, 180)","[56, 57, 65, 57]"
"(57, 270)","[82, 57, 75, 76, 66, 65, 57]"
"(58, 0)","[58, 69, 68, 59, 58]"
"(58, 90)","[50, 58, 58]"
"(58, 180)","[58, 58]"
"(58, 270)","[83, 78, 58, 68, 67, 77, 58]"
"(59, 0)","[59, 59]"
"(59, 90)","[59, 59]"
"(59, 180)","[50, 58, 67, 59, 59]"
"(59, 270)","[83, 78, 69, 68, 67, 59, 77, 59]"
"(60, 0)","[52, 61, 71, 60, 60]"
"(60, 90)","[48, 49, 52, 51, 60, 60]"
"(60, 180)","[60, 60]"
"(60, 270)","[69, 96, 84, 71, 79, 95, 97, 70, 80, 85, 60, 60]"
"(61, 0)","[61, 61]"
"(61, 90)","[51, 49, 52, 48, 61, 61]"
"(61, 180)","[51, 70, 69, 60, 61, 61]"
"(61, 270)","[96, 84, 61, 71, 79, 95, 97, 70, 80, 85, 61]"
"(62, 0)","[73, 64, 54, 63, 74, 62, 55, 62]"
"(62, 90)","[54, 62, 53, 62]"
"(62, 180)","[62, 62]"
"(62, 270)","[72, 62, 73, 81, 62]"
"(63, 0)","[64, 63, 74, 55, 63]"
"(63, 90)","[53, 54, 63, 55, 63]"
"(63, 180)","[72, 62, 53, 63, 63]"
"(63, 270)","[72, 73, 63, 74, 81, 63]"
"(64, 0)","[64, 64]"
"(64, 90)","[64, 54, 55, 64]"
"(64, 180)","[72, 62, 64, 53, 73, 63, 54, 64]"
"(64, 270)","[64, 73, 74, 81, 64]"
"(65, 0)","[57, 76, 66, 65, 65]"
"(65, 90)","[56, 57, 65, 65]"
"(65, 180)","[65, 65]"
"(65, 270)","[82, 75, 76, 65, 65]"
"(66, 0)","[66, 66]"
"(66, 90)","[56, 57, 66, 66]"
"(66, 180)","[56, 75, 66, 65, 66]"
"(66, 270)","[82, 75, 76, 66, 66]"
"(67, 0)","[78, 69, 68, 67, 59, 67]"
"(67, 90)","[50, 58, 67, 59, 67]"
"(67, 180)","[67, 67]"
"(67, 270)","[83, 78, 67, 77, 67]"
"(68, 0)","[69, 68, 68]"
"(68, 90)","[50, 58, 68, 59, 68]"
"(68, 180)","[58, 68, 67, 77, 68]"
"(68, 270)","[83, 78, 68, 77, 68]"
"(69, 0)","[69, 52, 61, 71, 79, 70, 80, 85, 60, 69]"
"(69, 90)","[69, 69]"
"(69, 180)","[50, 83, 78, 58, 69, 68, 67, 59, 77, 69]"
"(69, 270)","[69, 69]"
"(70, 0)","[61, 71, 70, 80, 70]"
"(70, 90)","[51, 49, 52, 48, 61, 70, 60, 70]"
"(70, 180)","[69, 70, 70]"
"(70, 270)","[96, 84, 79, 95, 97, 70, 80, 85, 70]"
"(71, 0)","[71, 71]"
"(71, 90)","[51, 49, 52, 48, 61, 60, 71, 71]"
"(71, 180)","[71, 70, 69, 79, 60, 71]"
"(71, 270)","[96, 84, 71, 79, 95, 97, 80, 85, 71]"
"(72, 0)","[72, 73, 64, 74, 63, 81, 55, 72]"
"(72, 90)","[72, 62, 53, 55, 63, 54, 72]"
"(72, 180)","[72, 72]"
"(72, 270)","[72, 72]"
"(73, 0)","[64, 73, 74, 73]"
"(73, 90)","[64, 55, 54, 62, 53, 73, 63, 73]"
"(73, 180)","[72, 62, 73, 73]"
"(73, 270)","[73, 81, 73]"
"(74, 0)","[74, 74]"
"(74, 90)","[53, 64, 54, 74, 63, 55, 74]"
"(74, 180)","[72, 62, 53, 73, 81, 63, 74, 74]"
"(74, 270)","[74, 74]"
"(75, 0)","[82, 66, 75, 76, 75]"
"(75, 90)","[56, 57, 75, 66, 65, 75]"
"(75, 180)","[75, 75]"
"(75, 270)","[75, 75]"
"(76, 0)","[76, 76]"
"(76, 90)","[56, 57, 76, 66, 65, 76]"
"(76, 180)","[75, 76, 65, 76]"
"(76, 270)","[76, 82, 76]"
"(77, 0)","[78, 69, 68, 77, 77]"
"(77, 90)","[77, 50, 58, 68, 67, 59, 77]"
"(77, 180)","[77, 77]"
"(77, 270)","[83, 77, 77]"
"(78, 0)","[78, 78]"
"(78, 90)","[50, 78, 58, 69, 68, 67, 59, 78]"
"(78, 180)","[83, 78, 67, 77, 78]"
"(78, 270)","[78, 78]"
"(79, 0)","[71, 79, 80, 85, 79]"
"(79, 90)","[51, 49, 69, 52, 48, 61, 70, 60, 71, 79, 79]"
"(79, 180)","[79, 79]"
"(79, 270)","[96, 84, 79, 95, 97, 85, 79]"
"(80, 0)","[80, 80]"
"(80, 90)","[48, 52, 61, 71, 49, 51, 70, 80, 60, 80]"
"(80, 180)","[84, 70, 79, 69, 80, 80]"
"(80, 270)","[96, 84, 95, 97, 80, 85, 80]"
"(81, 0)","[81, 81]"
"(81, 90)","[72, 64, 55, 54, 74, 62, 53, 73, 63, 81, 81]"
"(81, 180)","[81, 81]"
"(81, 270)","[87, 81, 86, 88, 81]"
"(82, 0)","[82, 82]"
"(82, 90)","[82, 66, 56, 57, 75, 76, 65, 82]"
"(82, 180)","[82, 82]"
"(82, 270)","[90, 82, 92, 91, 82]"
"(83, 0)","[83, 83]"
"(83, 90)","[50, 83, 78, 58, 69, 68, 67, 59, 77, 83]"
"(83, 180)","[83, 83]"
"(83, 270)","[83, 94, 92, 93, 83]"
"(84, 0)","[84, 97, 80, 85, 84]"
"(84, 90)","[51, 49, 69, 52, 48, 84, 61, 70, 80, 60, 71, 79, 84]"
"(84, 180)","[84, 84]"
"(84, 270)","[96, 84, 95, 97, 84]"
"(85, 0)","[85, 85]"
"(85, 90)","[48, 69, 52, 61, 71, 79, 49, 51, 70, 80, 85, 60, 85]"
"(85, 180)","[96, 95, 84, 93, 94, 85, 79, 85]"
"(85, 270)","[96, 97, 85, 85]"
"(86, 0)","[83, 90, 94, 87, 92, 96, 89, 81, 91, 95, 93, 97, 86, 85, 88, 86]"
"(86, 90)","[86, 86]"
"(86, 180)","[86, 86]"
"(86, 270)","[86, 86]"
"(87, 0)","[83, 90, 82, 94, 87, 92, 96, 89, 91, 95, 93, 97, 88, 87]"
"(87, 90)","[87, 81, 87]"
"(87, 180)","[87, 86, 87]"
"(87, 270)","[87, 87]"
"(88, 0)","[90, 82, 94, 92, 96, 89, 91, 95, 93, 97, 88, 88]"
"(88, 90)","[88, 88]"
"(88, 180)","[87, 81, 86, 88, 88]"
"(88, 270)","[88, 88]"
"(89, 0)","[83, 90, 82, 94, 92, 96, 84, 89, 91, 95, 93, 97, 85, 89]"
"(89, 90)","[89, 89]"
"(89, 180)","[87, 89, 81, 86, 88, 89]"
"(89, 270)","[89, 89]"
"(90, 0)","[83, 90, 82, 94, 92, 96, 84, 91, 95, 93, 97, 85, 90]"
"(90, 90)","[90, 90]"
"(90, 180)","[90, 87, 89, 81, 86, 88, 90]"
"(90, 270)","[90, 90]"
"(91, 0)","[83, 94, 92, 96, 91, 95, 93, 97, 85, 91]"
"(91, 90)","[82, 91, 91]"
"(91, 180)","[90, 87, 89, 81, 91, 86, 88, 91]"
"(91, 270)","[91, 91]"
"(92, 0)","[83, 94, 92, 96, 84, 95, 93, 97, 85, 92]"
"(92, 90)","[92, 92]"
"(92, 180)","[90, 82, 87, 92, 89, 91, 86, 88, 92]"
"(92, 270)","[92, 92]"
"(93, 0)","[94, 96, 84, 95, 93, 97, 85, 93]"
"(93, 90)","[83, 93, 93]"
"(93, 180)","[90, 82, 87, 92, 89, 81, 91, 93, 86, 88, 93]"
"(93, 270)","[93, 93]"
"(94, 0)","[94, 96, 84, 95, 97, 85, 94]"
"(94, 90)","[94, 94]"
"(94, 180)","[83, 90, 82, 94, 87, 92, 89, 81, 91, 93, 86, 88, 94]"
"(94, 270)","[94, 94]"
"(95, 0)","[96, 84, 95, 97, 80, 85, 95]"
"(95, 90)","[95, 95]"
"(95, 180)","[83, 90, 82, 94, 87, 92, 89, 91, 95, 93, 86, 88, 95]"
"(95, 270)","[95, 95]"
"(96, 0)","[96, 97, 85, 96]"
"(96, 90)","[51, 49, 69, 96, 52, 48, 84, 61, 70, 80, 85, 60, 71, 79, 96]"
"(96, 180)","[83, 90, 94, 87, 92, 96, 89, 91, 95, 93, 86, 88, 96]"
"(96, 270)","[96, 96]"
"(97, 0)","[97, 97]"
"(97, 90)","[48, 69, 52, 84, 61, 71, 79, 49, 97, 51, 70, 80, 85, 60, 97]"
"(97, 180)","[83, 90, 82, 94, 87, 92, 96, 84, 89, 91, 95, 93, 97, 86, 88, 97]"
"(97, 270)","[97, 97]"
